customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,is_new_unbilled,churn_flag,contract_months,tenure_band,expected_total,total_variance,variance_pct,avg_billed_per_month,annual_revenue
7590-VHVEG,Female,No,Yes,No,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,False,0,1,1-12m,29.85,0.0,0.0,29.85,358.2
5575-GNVDE,Male,No,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,False,0,12,25-48m,1936.3,-46.8,-0.02416980839745907,55.5735294117647,683.4
3668-QPYBK,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,False,1,1,1-12m,107.7,0.45,0.004178272980501393,54.075,646.2
7795-CFOCW,Male,No,No,No,45,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,False,0,12,25-48m,1903.5,-62.75,-0.03296558970317835,40.90555555555556,507.6
9237-HQITU,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,False,1,1,1-12m,141.4,10.25,0.07248939179632248,75.825,848.4
9305-CDSKC,Female,No,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,False,1,1,1-12m,797.2,23.3,0.029227295534370295,102.5625,1195.8
1452-KIOVK,Male,No,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,False,0,1,13-24m,1960.2,-10.8,-0.005509641873278237,88.60909090909091,1069.2
6713-OKOMC,Female,No,No,No,10,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,False,0,1,1-12m,297.5,4.4,0.014789915966386557,30.189999999999998,357.0
7892-POOKP,Female,No,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,False,1,1,25-48m,2934.4,111.65,0.03804866412213741,108.78750000000001,1257.6
6388-TABGU,Male,No,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,False,0,12,49-72m,3481.3,6.65,0.0019102059575445954,56.25725806451613,673.8
9763-GRSKD,Male,No,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,False,0,1,13-24m,649.35,-61.9,-0.09532609532609532,45.18846153846154,599.4
7469-LKBCI,Male,No,No,No,16,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),18.95,326.8,No,False,0,24,13-24m,303.2,23.6,0.07783641160949868,20.425,227.4
8091-TTVAX,Male,No,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,False,0,12,49-72m,5820.3,-139.2,-0.023916292974588936,97.95,1204.2
0280-XJGEX,Male,No,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,False,1,1,49-72m,5081.3,-45.0,-0.008856001416960227,102.78163265306122,1244.4
5129-JLPIS,Male,No,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,False,0,1,25-48m,2637.5,48.55,0.018407582938388626,107.44200000000001,1266.0
3655-SNQYZ,Female,No,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,False,0,24,49-72m,7814.25,80.9,0.010352880954666155,114.42246376811593,1359.0
8191-XWSZG,Female,No,No,No,52,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.65,1022.95,No,False,0,12,49-72m,1073.8,-50.85,-0.04735518718569566,19.672115384615385,247.8
9959-WOFKT,Male,No,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,False,0,24,49-72m,7575.7,-193.45,-0.025535594070514936,103.97535211267606,1280.4
4190-MFLUW,Female,No,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,False,1,1,1-12m,552.0,-23.65,-0.042844202898550725,52.835,662.4
4183-MYFRB,Female,No,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,False,0,1,13-24m,1891.05,-28.15,-0.014885909944210888,88.70952380952382,1080.6
8779-QRDMV,Male,Yes,No,No,1,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,False,1,1,1-12m,39.65,0.0,0.0,39.65,475.8
1680-VDCWW,Male,No,Yes,No,12,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.8,202.25,No,False,0,12,1-12m,237.6,-35.35,-0.1487794612794613,16.854166666666668,237.6
1066-JKSGK,Male,No,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.15,20.15,Yes,False,1,1,1-12m,20.15,0.0,0.0,20.15,241.8
3638-WEABW,Female,No,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,False,0,24,49-72m,3474.2,30.9,0.008894133901329803,60.432758620689654,718.8
6322-HRPFA,Male,No,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,False,0,1,49-72m,2920.4,49.9,0.017086700451992877,60.61836734693878,715.2
6865-JZNKO,Female,No,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,False,0,1,25-48m,1659.0,-128.4,-0.07739602169981917,51.019999999999996,663.6
6467-CHFZW,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,False,1,1,25-48m,4669.45,79.7,0.017068391352300594,101.04574468085106,1192.2
8665-UTDHZ,Male,No,Yes,Yes,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,False,1,1,1-12m,30.2,0.0,0.0,30.2,362.4
5248-YGIJN,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,False,0,24,49-72m,6498.0,-128.55,-0.019783010156971377,88.46458333333334,1083.0
8773-HHUOZ,Female,No,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,False,1,1,13-24m,1099.9,-6.8,-0.006182380216383307,64.3,776.4
3841-NFECX,Female,Yes,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,False,0,24,49-72m,6840.85,-73.9,-0.010802751120109344,95.30915492957746,1156.2
4929-XIHVW,Male,Yes,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,False,0,1,1-12m,191.0,-9.35,-0.04895287958115183,90.825,1146.0
6827-IEAUQ,Female,No,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,False,0,12,25-48m,1786.05,88.4,0.04949469499734051,69.42407407407407,793.8
7310-EGVHZ,Male,No,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,False,0,1,1-12m,20.2,0.0,0.0,20.2,242.4
